interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 00:00:18,grrGgrrrrrrrgrrGgrrrrrrr,1660057218
204820,2022-08-10 00:00:21,grrygrrrrrrrgrrygrrrrrrr,1660057221
204820,2022-08-10 00:00:37,grrrgGGGGGrrgrrrgGGGGGrr,1660057237
204820,2022-08-10 00:00:41,grrrgyyyyyrrgrrrgyyyyyrr,1660057241
204820,2022-08-10 00:01:47,grrrgrrrrrGggrrrgrrrrrGg,1660057307
204820,2022-08-10 00:01:51,grrrgrrrrryggrrrgrrrrryg,1660057311
204820,2022-08-10 00:02:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660057327
204820,2022-08-10 00:02:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660057331
204820,2022-08-10 00:02:59,grrGgrrrrrrrgrrGgrrrrrrr,1660057379
204820,2022-08-10 00:03:02,grrygrrrrrrrgrrygrrrrrrr,1660057382
204820,2022-08-10 00:03:17,grrrgGGGGGrrgrrrgGGGGGrr,1660057397
204820,2022-08-10 00:03:21,grrrgyyyyyrrgrrrgyyyyyrr,1660057401
204820,2022-08-10 00:04:27,grrrgrrrrrGggrrrgrrrrrGg,1660057467
204820,2022-08-10 00:04:31,grrrgrrrrryggrrrgrrrrryg,1660057471
204820,2022-08-10 00:04:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660057487
204820,2022-08-10 00:04:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660057491
204820,2022-08-10 00:05:38,grrGgrrrrrrrgrrGgrrrrrrr,1660057538
204820,2022-08-10 00:05:41,grrygrrrrrrrgrrygrrrrrrr,1660057541
204820,2022-08-10 00:05:57,grrrgGGGGGrrgrrrgGGGGGrr,1660057557
204820,2022-08-10 00:06:01,grrrgyyyyyrrgrrrgyyyyyrr,1660057561
204820,2022-08-10 00:07:07,grrrgrrrrrGggrrrgrrrrrGg,1660057627
204820,2022-08-10 00:07:11,grrrgrrrrryggrrrgrrrrryg,1660057631
204820,2022-08-10 00:07:27,gGGrgrrrrrrrgGGrgrrrrrrr,1660057647
204820,2022-08-10 00:07:31,gyyrgrrrrrrrgyyrgrrrrrrr,1660057651
204820,2022-08-10 00:08:18,grrGgrrrrrrrgrrGgrrrrrrr,1660057698
204820,2022-08-10 00:08:21,grrygrrrrrrrgrrygrrrrrrr,1660057701
204820,2022-08-10 00:08:37,grrrgGGGGGrrgrrrgGGGGGrr,1660057717
204820,2022-08-10 00:08:41,grrrgyyyyyrrgrrrgyyyyyrr,1660057721
204820,2022-08-10 00:09:47,grrrgrrrrrGggrrrgrrrrrGg,1660057787
204820,2022-08-10 00:09:51,grrrgrrrrryggrrrgrrrrryg,1660057791
204820,2022-08-10 00:10:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660057807
204820,2022-08-10 00:10:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660057811
204820,2022-08-10 00:10:58,grrGgrrrrrrrgrrGgrrrrrrr,1660057858
204820,2022-08-10 00:11:01,grrygrrrrrrrgrrygrrrrrrr,1660057861
204820,2022-08-10 00:11:17,grrrgGGGGGrrgrrrgGGGGGrr,1660057877
204820,2022-08-10 00:11:21,grrrgyyyyyrrgrrrgyyyyyrr,1660057881
204820,2022-08-10 00:12:27,grrrgrrrrrGggrrrgrrrrrGg,1660057947
204820,2022-08-10 00:12:31,grrrgrrrrryggrrrgrrrrryg,1660057951
204820,2022-08-10 00:12:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660057967
204820,2022-08-10 00:12:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660057971
204820,2022-08-10 00:13:38,grrGgrrrrrrrgrrGgrrrrrrr,1660058018
204820,2022-08-10 00:13:41,grrygrrrrrrrgrrygrrrrrrr,1660058021
204820,2022-08-10 00:13:57,grrrgGGGGGrrgrrrgGGGGGrr,1660058037
204820,2022-08-10 00:14:01,grrrgyyyyyrrgrrrgyyyyyrr,1660058041
204822,2022-08-10 00:00:05,grrrgrrrrrrGggrrrrgrrrrrGg,1660057205
204822,2022-08-10 00:00:09,grrrgrrrrrryggrrrrgrrrrryg,1660057209
204822,2022-08-10 00:00:31,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660057231
204822,2022-08-10 00:00:35,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660057235
204822,2022-08-10 00:01:21,grrGgrrrrrrrrgrrGGgrrrrrrr,1660057281
204822,2022-08-10 00:01:25,grrygrrrrrrrrgrryygrrrrrrr,1660057285
204822,2022-08-10 00:01:47,grrrgGGGGGGrrgrrrrgGGGGGrr,1660057307
204822,2022-08-10 00:01:51,grrrgyyyyyyrrgrrrrgyyyyyrr,1660057311
204822,2022-08-10 00:02:45,grrrgrrrrrrGggrrrrgrrrrrGg,1660057365
204822,2022-08-10 00:02:49,grrrgrrrrrryggrrrrgrrrrryg,1660057369
204822,2022-08-10 00:03:12,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660057392
204822,2022-08-10 00:03:16,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660057396
204822,2022-08-10 00:04:02,grrGgrrrrrrrrgrrGGgrrrrrrr,1660057442
204822,2022-08-10 00:04:06,grrygrrrrrrrrgrryygrrrrrrr,1660057446
204822,2022-08-10 00:04:26,grrrgGGGGGGrrgrrrrgGGGGGrr,1660057466
204822,2022-08-10 00:04:30,grrrgyyyyyyrrgrrrrgyyyyyrr,1660057470
204822,2022-08-10 00:05:24,grrrgrrrrrrGggrrrrgrrrrrGg,1660057524
204822,2022-08-10 00:05:28,grrrgrrrrrryggrrrrgrrrrryg,1660057528
204822,2022-08-10 00:05:51,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660057551
204822,2022-08-10 00:05:55,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660057555
204822,2022-08-10 00:06:41,grrGgrrrrrrrrgrrGGgrrrrrrr,1660057601
204822,2022-08-10 00:06:45,grrygrrrrrrrrgrryygrrrrrrr,1660057605
204822,2022-08-10 00:07:07,grrrgGGGGGGrrgrrrrgGGGGGrr,1660057627
204822,2022-08-10 00:07:11,grrrgyyyyyyrrgrrrrgyyyyyrr,1660057631
204822,2022-08-10 00:08:05,grrrgrrrrrrGggrrrrgrrrrrGg,1660057685
204822,2022-08-10 00:08:09,grrrgrrrrrryggrrrrgrrrrryg,1660057689
204822,2022-08-10 00:08:32,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660057712
204822,2022-08-10 00:08:36,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660057716
204822,2022-08-10 00:09:21,grrGgrrrrrrrrgrrGGgrrrrrrr,1660057761
204822,2022-08-10 00:09:25,grrygrrrrrrrrgrryygrrrrrrr,1660057765
204822,2022-08-10 00:09:46,grrrgGGGGGGrrgrrrrgGGGGGrr,1660057786
204822,2022-08-10 00:09:50,grrrgyyyyyyrrgrrrrgyyyyyrr,1660057790
204822,2022-08-10 00:10:44,grrrgrrrrrrGggrrrrgrrrrrGg,1660057844
204822,2022-08-10 00:10:48,grrrgrrrrrryggrrrrgrrrrryg,1660057848
204822,2022-08-10 00:11:11,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660057871
204822,2022-08-10 00:11:15,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660057875
204822,2022-08-10 00:12:02,grrGgrrrrrrrrgrrGGgrrrrrrr,1660057922
204822,2022-08-10 00:12:06,grrygrrrrrrrrgrryygrrrrrrr,1660057926
204822,2022-08-10 00:12:27,grrrgGGGGGGrrgrrrrgGGGGGrr,1660057947
204822,2022-08-10 00:12:31,grrrgyyyyyyrrgrrrrgyyyyyrr,1660057951
204822,2022-08-10 00:13:25,grrrgrrrrrrGggrrrrgrrrrrGg,1660058005
204822,2022-08-10 00:13:29,grrrgrrrrrryggrrrrgrrrrryg,1660058009
204822,2022-08-10 00:13:51,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660058031
204822,2022-08-10 00:13:55,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660058035
204822,2022-08-10 00:14:41,grrGgrrrrrrrrgrrGGgrrrrrrr,1660058081
204822,2022-08-10 00:14:45,grrygrrrrrrrrgrryygrrrrrrr,1660058085
201330,2022-08-10 00:01:01,rrrrGgrrrrrgrrrrGgrrrrr,1660057261
201330,2022-08-10 00:01:05,rrrrygrrrrrgrrrrygrrrrr,1660057265
201330,2022-08-10 00:01:21,rrrrrrrrrrrgrrrrrrGGGGg,1660057281
201330,2022-08-10 00:01:25,rrrrrrrrrrrgrrrrrryyyyg,1660057285
201330,2022-08-10 00:02:09,rrrrrgGGGGggrrrrrrrrrrr,1660057329
201330,2022-08-10 00:02:13,rrrrrgyyyyggrrrrrrrrrrr,1660057333
201330,2022-08-10 00:02:57,GGGGrrrrrrrgGGGGrrrrrrr,1660057377
201330,2022-08-10 00:03:01,yyyyrrrrrrrgyyyyrrrrrrr,1660057381
201330,2022-08-10 00:04:09,rrrrGgrrrrrgrrrrGgrrrrr,1660057449
201330,2022-08-10 00:04:13,rrrrygrrrrrgrrrrygrrrrr,1660057453
201330,2022-08-10 00:04:29,rrrrrrrrrrrgrrrrrrGGGGg,1660057469
201330,2022-08-10 00:04:33,rrrrrrrrrrrgrrrrrryyyyg,1660057473
201330,2022-08-10 00:05:18,rrrrrgGGGGggrrrrrrrrrrr,1660057518
201330,2022-08-10 00:05:22,rrrrrgyyyyggrrrrrrrrrrr,1660057522
201330,2022-08-10 00:06:07,GGGGrrrrrrrgGGGGrrrrrrr,1660057567
201330,2022-08-10 00:06:11,yyyyrrrrrrrgyyyyrrrrrrr,1660057571
201330,2022-08-10 00:07:16,rrrrGgrrrrrgrrrrGgrrrrr,1660057636
201330,2022-08-10 00:07:20,rrrrygrrrrrgrrrrygrrrrr,1660057640
201330,2022-08-10 00:07:36,rrrrrrrrrrrgrrrrrrGGGGg,1660057656
201330,2022-08-10 00:07:40,rrrrrrrrrrrgrrrrrryyyyg,1660057660
201330,2022-08-10 00:08:24,rrrrrgGGGGggrrrrrrrrrrr,1660057704
201330,2022-08-10 00:08:28,rrrrrgyyyyggrrrrrrrrrrr,1660057708
201330,2022-08-10 00:09:12,GGGGrrrrrrrgGGGGrrrrrrr,1660057752
201330,2022-08-10 00:09:16,yyyyrrrrrrrgyyyyrrrrrrr,1660057756
201330,2022-08-10 00:10:21,rrrrGgrrrrrgrrrrGgrrrrr,1660057821
201330,2022-08-10 00:10:25,rrrrygrrrrrgrrrrygrrrrr,1660057825
